PROFILE_CODE,PROFILE_TYPE,ORGANIC_MATTER_to_ORGANIC_CARBON_RATIO,TOGVOC,CATEGORY_LEVEL_1_Generation_Mechanism,CATEGORY_LEVEL_2_Sector_Equipment
0000,GAS,,1.174812078,Miscellaneous,Miscellaneous
0000010,PM,,,Miscellaneous,Miscellaneous
000002.5,PM,,,Miscellaneous,Miscellaneous
0000030,PM,,,Miscellaneous,Miscellaneous
00000C,PM,,,Miscellaneous,Miscellaneous
0001,GAS,,1.639344215,Combustion,Boiler
0002,GAS,,1,Combustion,Boiler
0003,GAS,,2.272727251,Combustion,Boiler
0004,GAS,,1.398601413,Combustion,Boiler
0005,GAS,,6.802721024,Combustion,Boiler
0007,GAS,,3.333333254,Combustion,Engine
0008,GAS,,1.168224335,Combustion,Engine
0009,GAS,,1.168224335,Combustion,Engine
0011,GAS,,2.14132762,Combustion,Coke Oven
0012,GAS,,1.187648416,Combustion,Industrial; Metal; Furnace
0013,GAS,,4.219409466,Combustion,Industrial; Metal; Sintering
0014,GAS,,1,Combustion,Industrial; Metal; Furnace
0016,GAS,,1.124859333,Combustion,Basic Oxygen Furnace
0023,GAS,,1.010100961,Volatilization,Chemical Manufacturing; Spraying
0024,GAS,,1.364256501,Combustion,Chemical Manufacturing; Tar Kettle
0025,GAS,,2.272727251,Combustion,Mineral Products; Rotary Dryer
0026,GAS,,1.254705191,Volatilization,Mineral Products
0029,GAS,,1.5625,Chemical Reaction,Petrochemical; Refinery; Catalytic Cracker
0031,GAS,,1.048218012,Volatilization,Petrochemical; Refinery; Fugitives
0035,GAS,,1,Volatilization,Petrochemical; Refinery; Cooling Tower
0039,GAS,,1.233045578,Volatilization,Petrochemical; Refinery; Fugitives
0047,GAS,,1.042752862,Volatilization,Petrochemical; Refinery; Fugitives
0051,GAS,,2,Combustion,Flare
0066,GAS,,1.631321311,Volatilization,Paint Manufacturing
0068,GAS,,1,Volatilization,Chemical Manufacturing
0072,GAS,,1.058201075,Volatilization,Paint Manufacturing
0076,GAS,,1,Volatilization,Pesticides
0078,GAS,,1,Volatilization,Tank
0079,GAS,,1,Combustion,Chemical Manufacturing; Flare
0085,GAS,,,Volatilization,Dry Cleaning
0087,GAS,,,Volatilization,Degreasing
0088,GAS,,,Volatilization,Degreasing
0089,GAS,,1,Volatilization,Degreasing
0090,GAS,,1,Volatilization,Degreasing
0100,GAS,,1,Volatilization,Tank
0121,GAS,,1,Combustion,Biomass Burning
0122,GAS,,5.917159557,Combustion,Incinerator
0127,GAS,,1.631321311,Volatilization,Surface Coating
0166,GAS,,7.692307472,Volatilization,Graphic Arts
0182,GAS,,1,Volatilization,Graphic Arts
0183,GAS,,1,Volatilization,Graphic Arts
0195,GAS,,,Combustion,Residential
0197,GAS,,1.01419878,Volatilization,Consumer Products
0202,GAS,,111.1111145,Microbial,Landfill
0203,GAS,,12.5,Microbial,Agriculture; Animal
0217,GAS,,1.733102202,Combustion,Coke Oven
0219,GAS,,,Volatilization,Surface Coating
0220,GAS,,1,Volatilization,Surface Coating
0221,GAS,,1,Volatilization,Surface Coating
0222,GAS,,1,Volatilization,Surface Coating
0223,GAS,,1,Volatilization,Surface Coating
0225,GAS,,1,Volatilization,Surface Coating
0226,GAS,,1,Volatilization,Surface Coating
0227,GAS,,1,Volatilization,Surface Coating
0228,GAS,,1,Volatilization,Surface Coating
0229,GAS,,1,Volatilization,Surface Coating
0230,GAS,,1,Volatilization,Tank
0271,GAS,,1,Volatilization,Degreasing
0272,GAS,,1,Volatilization,Rubber And Plastics
0273,GAS,,1,Volatilization,Rubber And Plastics
0274,GAS,,1,Volatilization,Rubber And Plastics
0275,GAS,,,Volatilization,Degreasing
0277,GAS,,,Volatilization,Degreasing
0282,GAS,,1,Volatilization,Surface Coating
0288,GAS,,1,Volatilization,Surface Coating
0289,GAS,,1,Volatilization,Surface Coating
0290,GAS,,1,Volatilization,Surface Coating
0291,GAS,,1,Volatilization,Surface Coating
0292,GAS,,1,Volatilization,Surface Coating
0296,GAS,,1.133786798,Volatilization,Oil And Gas; Tank
0297,GAS,,1.12994349,Volatilization,Petrochemical; Refinery; Tank
0299,GAS,,1,Volatilization,Tank
0301,GAS,,1,Volatilization,Tank
0304,GAS,,1,Volatilization,Graphic Arts
0305,GAS,,1.067235827,Volatilization,Tank
0307,GAS,,1.254547715,Combustion,Biomass Burning; Wildfire
0316,GAS,,1.524390221,Volatilization,Industrial; Fugitives
0321,GAS,,1.047120452,Volatilization,Industrial; Fugitives
0332,GAS,,1.206272602,Volatilization,Graphic Arts
0333,GAS,,5.717552662,Volatilization,Graphic Arts
1001,GAS,,10.74113846,Combustion,Engine
1002,GAS,,1.288659811,Volatilization,Chemical Manufacturing
1003,GAS,,1.012863398,Volatilization,Surface Coating
1004,GAS,,1,Volatilization,Chemical Manufacturing
1005,GAS,,1,Volatilization,Chemical Manufacturing
1006,GAS,,1,Chemical Reaction,Chemical Manufacturing
1007,GAS,,1,Volatilization,Mineral Products
1008,GAS,,1,Volatilization,Rubber And Plastics
1009,GAS,,1,Volatilization,Chemical Manufacturing
100CROC,PM-CR1,1.200000048,,Combustion,Mobile; Onroad; Light Duty
100GROC,GAS,,1.211078405,Combustion,Mobile; Onroad
100GROCa,GAS,,1.211078405,Combustion,Mobile; Onroad
100VBS,GAS,,1.245645761,Combustion,Mobile; Onroad; Light Duty
1010,GAS,,2.140869141,Volatilization,Oil And Gas; Fugitives
1011,GAS,,1.785714269,Volatilization,Oil And Gas; Fugitives
1012,GAS,,3.246753216,Volatilization,Oil And Gas; Fugitives
1013,GAS,,1.058425069,Volatilization,Surface Coating
1014,GAS,,1.00080061,Volatilization,Mobile
1015,GAS,,1.000400186,Volatilization,Mobile
1016,GAS,,1.012350678,Volatilization,Surface Coating
1017,GAS,,1,Volatilization,Surface Coating
1018,GAS,,1.058985472,Volatilization,Surface Coating
1019,GAS,,1,Volatilization,Surface Coating
101CROC,PM-CR1,1.200000048,,Combustion,Mobile; Onroad; Light Duty
101GROC,GAS,,1.256319523,Combustion,Mobile; Onroad
101GROCa,GAS,,1.256319523,Combustion,Mobile; Onroad
101VBS,GAS,,2.716579914,Combustion,Mobile; Onroad
1020,GAS,,1.153136492,Volatilization,Surface Coating
1021,GAS,,3.333333254,Volatilization,Degreasing
1022,GAS,,1,Volatilization,Graphic Arts
1023,GAS,,1,Volatilization,Chemical Manufacturing
1024,GAS,,1.195171475,Volatilization,Chemical Manufacturing
1025,GAS,,12.87001324,Volatilization,Chemical Manufacturing
